Operation Phoenix Weapon Case->Negev | Terrain (Field-Tested) (blue)
Operation Phoenix Weapon Case->StatTrak™ Negev | Terrain (Minimal Wear) (blue)
Operation Breakout Weapon Case->MP7 | Urban Hazard (Minimal Wear) (blue)
Operation Phoenix Weapon Case->UMP-45 | Corporal (Field-Tested) (blue)
Operation Phoenix Weapon Case->MAG-7 | Heaven Guard (Minimal Wear) (blue)
Operation Phoenix Weapon Case->UMP-45 | Corporal (Field-Tested) (blue)
Operation Phoenix Weapon Case->Tec-9 | Sandstorm (Field-Tested) (blue)
Operation Vanguard Weapon Case->MP9 | Dart (Factory New) (blue)
Operation Vanguard Weapon Case->StatTrak™ G3SG1 | Murky (Field-Tested) (blue)
Operation Phoenix Weapon Case->Negev | Terrain (Minimal Wear) (blue)
Operation Phoenix Weapon Case->MAG-7 | Heaven Guard (Field-Tested) (blue)
Operation Phoenix Weapon Case->StatTrak™ SG 553 | Pulse (Field-Tested) (purple)
Operation Phoenix Weapon Case->StatTrak™ MAG-7 | Heaven Guard (Field-Tested) (blue)
Operation Phoenix Weapon Case->Negev | Terrain (Factory New) (blue)
Operation Phoenix Weapon Case->MAG-7 | Heaven Guard (Factory New) (blue)
Operation Phoenix Weapon Case->StatTrak™ UMP-45 | Corporal (Field-Tested) (blue)
Operation Vanguard Weapon Case->Sawed-Off | Highwayman (Well-Worn) (purple)
Operation Vanguard Weapon Case->UMP-45 | Delusion (Minimal Wear) (blue)
Huntsman Weapon Case->SSG 08 | Slashed (Field-Tested) (blue)
Huntsman Weapon Case->PP-Bizon | Antique (Factory New) (purple)
Operation Vanguard Weapon Case->Sawed-Off | Highwayman (Field-Tested) (purple)
Operation Vanguard Weapon Case->MAG-7 | Firestarter (Field-Tested) (blue)
Operation Vanguard Weapon Case->M4A4 | Griffin (Battle-Scarred) (purple)
Operation Vanguard Weapon Case->Five-SeveN | Urban Hazard (Minimal Wear) (blue)
Operation Vanguard Weapon Case->G3SG1 | Murky (Minimal Wear) (blue)
Huntsman Weapon Case->CZ75-Auto | Twist (Minimal Wear) (blue)
Huntsman Weapon Case->CZ75-Auto | Twist (Well-Worn) (blue)
Huntsman Weapon Case->Galil AR | Kami (Factory New) (blue)
Huntsman Weapon Case->SSG 08 | Slashed (Field-Tested) (blue)
Operation Vanguard Weapon Case->XM1014 | Tranquility (Well-Worn) (pink)
Operation Breakout Weapon Case->MP7 | Urban Hazard (Factory New) (blue)
Operation Phoenix Weapon Case->MAG-7 | Heaven Guard (Factory New) (blue)
CS:GO Weapon Case 3->Glock-18 | Blue Fissure (Field-Tested) (blue)
CS:GO Weapon Case 3->USP-S | Stainless (Factory New) (blue)
CS:GO Weapon Case 3->USP-S | Stainless (Field-Tested) (blue)
CS:GO Weapon Case 3->Glock-18 | Blue Fissure (Minimal Wear) (blue)
CS:GO Weapon Case 3->Glock-18 | Blue Fissure (Field-Tested) (blue)
CS:GO Weapon Case 3->USP-S | Stainless (Field-Tested) (blue)
Falchion Case->MP7 | Nemesis (Field-Tested) (pink)
Falchion Case->USP-S | Torque (Field-Tested) (blue)
Falchion Case->Glock-18 | Bunsen Burner (Field-Tested) (blue)
Operation Phoenix Weapon Case->Negev | Terrain (Factory New) (blue)
Operation Breakout Weapon Case->P2000 | Ivory (Well-Worn) (blue)
Operation Phoenix Weapon Case->MAG-7 | Heaven Guard (Factory New) (blue)
Operation Breakout Weapon Case->UMP-45 | Labyrinth (Field-Tested) (blue)
Operation Phoenix Weapon Case->Tec-9 | Sandstorm (Field-Tested) (blue)
Falchion Case->Nova | Ranger (Field-Tested) (blue)
Chroma 2 Case->Sawed-Off | Origami (Minimal Wear) (blue)
Shadow Case->M249 | Nebula Crusader (Battle-Scarred) (purple)
Shadow Case->MAG-7 | Cobalt Core (Field-Tested) (blue)
Shadow Case->Glock-18 | Wraiths (Minimal Wear) (blue)
Falchion Case->P90 | Elite Build (Minimal Wear) (blue)
Falchion Case->USP-S | Torque (Field-Tested) (blue)
CS:GO Weapon Case 2->Five-SeveN | Case Hardened (Factory New) (purple)
Shadow Case->Glock-18 | Wraiths (Field-Tested) (blue)
Shadow Case->Dual Berettas | Dualing Dragons (Minimal Wear) (blue)
Falchion Case->UMP-45 | Riot (Minimal Wear) (blue)
Chroma 2 Case->Sawed-Off | Origami (Minimal Wear) (blue)
Shadow Case->MAG-7 | Cobalt Core (Field-Tested) (blue)
Chroma 2 Case->P250 | Valence (Battle-Scarred) (blue)
Operation Wildfire Case->MAC-10 | Lapis Gator (Factory New) (blue)
Operation Wildfire Case->SSG 08 | Necropos (Battle-Scarred) (blue)
Operation Wildfire Case->MAC-10 | Lapis Gator (Factory New) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Chroma 2 Case->Negev | Man-o'-war (Minimal Wear) (blue)
Chroma 2 Case->MP7 | Armor Core (Field-Tested) (blue)
Gamma Case->P250 | Iron Clad (Field-Tested) (blue)
Gamma 2 Case->Five-SeveN | Scumbria (Field-Tested) (blue)
Spectrum Case->P250 | Ripple (Minimal Wear) (blue)
Spectrum Case->StatTrak™ SCAR-20 | Blueprint (Field-Tested) (blue)
Operation Hydra Case->Tec-9 | Cut Out (Field-Tested) (blue)
Winter Offensive Weapon Case->Galil AR | Sandstorm (Field-Tested) (blue)
Spectrum Case->StatTrak™ Desert Eagle | Oxide Blaze (Factory New) (blue)
Spectrum 2 Case->AUG | Triqua (Battle-Scarred) (blue)
Operation Wildfire Case->USP-S | Lead Conduit (Field-Tested) (blue)
Gamma 2 Case->XM1014 | Slipstream (Field-Tested) (blue)
Spectrum 2 Case->G3SG1 | Hunter (Well-Worn) (blue)
Spectrum Case->P250 | Ripple (Field-Tested) (blue)
Spectrum Case->Five-SeveN | Capillary (Field-Tested) (blue)
Spectrum Case->Sawed-Off | Zander (Minimal Wear) (blue)
Spectrum 2 Case->Tec-9 | Cracked Opal (Battle-Scarred) (blue)
Clutch Case->XM1014 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->Glock-18 | Moonrise (Minimal Wear) (purple)
Spectrum Case->P250 | Ripple (Minimal Wear) (blue)
Horizon Case->Dual Berettas | Shred (Well-Worn) (blue)
Chroma 3 Case->StatTrak™ G3SG1 | Orange Crash (Field-Tested) (blue)
Spectrum 2 Case->Tec-9 | Cracked Opal (Field-Tested) (blue)
Glove Case->CZ75-Auto | Polymer (Field-Tested) (blue)
Spectrum Case->MAC-10 | Last Dive (Well-Worn) (purple)
Spectrum Case->Desert Eagle | Oxide Blaze (Factory New) (blue)
Spectrum Case->StatTrak™ MP7 | Akoben (Minimal Wear) (blue)
Spectrum Case->Five-SeveN | Capillary (Field-Tested) (blue)
Spectrum Case->Desert Eagle | Oxide Blaze (Field-Tested) (blue)
Horizon Case->MP9 | Capillary (Field-Tested) (blue)
Spectrum Case->Sawed-Off | Zander (Well-Worn) (blue)
Spectrum 2 Case->Glock-18 | Off World (Well-Worn) (blue)
Spectrum 2 Case->Tec-9 | Cracked Opal (Well-Worn) (blue)
Spectrum 2 Case->StatTrak™ XM1014 | Ziggy (Minimal Wear) (purple)
